pid,overallqual,yearbuilt,centralair,grlivarea,fullbath,salecondition,saleprice
526301100,6,1960,Y,1656,1,Normal,215000
526350040,5,1961,Y,896,1,Normal,105000
526351010,6,1958,Y,1329,1,Normal,172000
526353030,7,1968,Y,2110,2,Normal,244000
527105010,5,1997,Y,1629,2,Normal,189900
527105030,6,1998,Y,1604,2,Normal,195500
527127150,8,2001,Y,1338,2,Normal,213500
527145080,8,1992,Y,1280,2,Normal,191500
527146030,8,1995,Y,1616,2,Normal,236500
527162130,7,1999,Y,1804,2,Normal,189000
527163010,6,1993,Y,1655,2,Normal,175900
527165230,6,1992,Y,1187,2,Normal,185000
527166040,6,1998,Y,1465,2,Normal,180400
527180040,7,1990,Y,1341,1,Normal,171500
527182190,8,1985,Y,1502,1,Normal,212000
527216070,8,2003,Y,3279,3,Normal,538000
527225035,8,1988,Y,1752,2,Normal,164000
527258010,9,2010,Y,1856,1,Abnormal,394432
527276150,4,1951,Y,864,1,Normal,141000
527302110,6,1978,Y,2073,2,Normal,210000
527358140,6,1977,Y,1844,2,Normal,190000
527358200,7,1974,Y,1173,2,Family,170000
527368020,7,2000,Y,1674,2,Normal,216000
527402200,6,1970,Y,1004,1,Normal,149000
527402250,5,1971,Y,1078,1,Normal,149900
527403020,5,1968,Y,1056,1,Normal,142000
527404120,4,1970,Y,882,1,Normal,126000
527425090,4,1971,Y,864,1,Normal,115000
527427230,7,1999,Y,1337,2,Normal,184000
527451180,6,1971,Y,987,1,Normal,96000
527451330,5,1971,Y,1092,1,Normal,105500
527451410,6,1971,Y,1092,1,Family,88000
527452190,6,1977,Y,1069,2,Normal,127500
527453130,6,1975,Y,1456,2,Normal,149900
527453150,7,1975,Y,836,1,Normal,120000
527454200,6,1978,Y,1456,2,Normal,146000
528108120,9,2009,Y,2334,2,Abnormal,376162
528112020,8,2007,Y,1704,2,Normal,306000
528120060,9,2009,Y,1940,2,Abnormal,395192
528120090,8,2009,Y,1544,2,Abnormal,290941
528120100,7,2005,Y,1541,2,Abnormal,220000
528120120,9,2005,Y,1698,2,Normal,275000
528138020,8,2005,Y,1822,2,Normal,259000
528138060,7,2004,Y,1535,2,Normal,214000
528150070,9,2009,Y,2364,2,Abnormal,611657
528175010,7,2009,Y,1358,2,Abnormal,224000
528176010,9,2003,Y,2696,2,Normal,500000
528176070,8,2002,Y,2250,2,Normal,320000
528180070,9,2005,Y,1752,2,Normal,319900
528181050,8,2006,Y,1370,2,Normal,205000
528188120,7,2003,Y,1626,2,Normal,175500
528218150,6,2005,Y,1324,2,Normal,199500
528228285,7,2006,Y,1145,2,Normal,160000
528228440,8,2004,Y,1269,2,Normal,192000
528231020,7,2004,Y,1374,2,Normal,184500
528240070,6,2002,Y,1960,2,Normal,216500
528240130,7,2004,Y,1733,2,Normal,185088
528250100,7,2000,Y,1430,2,Normal,180000
528292020,7,2001,Y,2035,2,Normal,222500
528328100,9,1999,Y,2599,2,Normal,333168
528344070,8,1998,Y,2475,2,Normal,355000
528358010,7,1996,Y,1720,2,Normal,260400
528363130,8,1994,Y,2622,2,Normal,325000
528382020,8,1999,Y,2270,2,Normal,290000
528382030,7,1998,Y,1839,2,Normal,221000
528386040,8,1995,Y,3238,2,Normal,410000
528445060,8,2005,Y,1595,2,Normal,221500
528456160,7,2009,Y,1218,2,Abnormal,204500
528458070,7,2009,Y,1547,2,Normal,215200
528458110,8,2008,Y,1566,2,Normal,262500
528477080,7,2004,Y,1947,2,Normal,254900
528480090,6,2005,Y,1468,2,Normal,271500
531367050,7,2004,Y,2084,2,Normal,233000
531369060,7,2004,Y,1659,2,Normal,181000
531380080,7,1994,Y,2110,2,Normal,205000
531451110,6,1980,Y,923,2,Normal,143000
531451280,6,1992,Y,1845,2,Normal,189000
531452020,6,1979,Y,918,2,Normal,99500
531452050,6,1984,Y,752,1,Normal,125000
531452180,7,1993,Y,1744,2,Normal,194500
531453010,6,1984,Y,1097,2,Normal,152000
531453040,6,1980,Y,1564,2,Normal,171000
531477050,5,1920,N,1012,1,Normal,67500
532351140,6,1978,Y,1902,2,Normal,112000
532354090,5,1961,Y,1155,1,Normal,148000
532376160,5,1965,Y,894,1,Normal,138500
532377060,5,1967,Y,900,1,Normal,122000
532377100,5,1963,Y,1040,1,Normal,133000
532378110,5,1962,Y,1040,1,Normal,127000
532479070,6,1974,Y,1494,2,Abnormal,169000
533130020,7,1992,Y,1923,2,Normal,190000
533130130,8,1993,Y,2349,2,Normal,362500
533130160,8,1992,Y,2225,2,Normal,285000
533205060,7,2004,Y,1488,2,Normal,260000
533208090,7,2004,Y,1680,2,Normal,190000
533210060,7,2004,Y,1200,2,Normal,155000
533212010,7,2004,Y,1200,2,Normal,151000
533212020,7,2004,Y,1200,2,Normal,149500
533212060,6,2005,Y,1236,2,Normal,152000
533213030,7,2009,Y,1478,2,Abnormal,222000
533221090,6,2000,Y,1573,2,Normal,177500
533221110,6,2000,Y,1512,2,Normal,177000
533223020,7,1999,Y,1416,2,Normal,155000
533223100,7,2003,Y,1080,2,Normal,147110
533238045,8,2010,Y,1418,1,Abnormal,267916
533244030,8,2000,Y,1848,2,Normal,254000
533253060,8,1980,Y,788,1,Normal,155000
533253210,8,1978,Y,1226,1,Normal,206000
533352170,6,1976,Y,1479,2,Normal,130500
534102025,7,2002,Y,1492,2,Normal,230000
534129040,6,1967,Y,1829,2,Normal,218500
534151175,6,1993,Y,2495,2,Normal,243500
534152050,6,1977,Y,1610,2,Normal,205000
534152070,6,1978,Y,1891,3,Normal,212500
534152100,7,1988,Y,1714,2,Normal,196500
534176060,6,1972,Y,1381,1,Normal,197500
534176230,6,1971,Y,1645,1,Normal,171000
534202160,5,1966,Y,1232,1,Normal,142250
534251320,6,1963,Y,1328,1,Normal,143000
534276360,4,1959,Y,1225,1,Normal,128950
534401110,5,1966,Y,1209,1,Normal,159000
534401140,5,1967,Y,1510,2,Normal,178900
534403360,6,1964,Y,1775,2,Family,136300
534403410,5,1964,Y,1152,1,Normal,180500
534425310,6,1963,Y,1054,1,Abnormal,137500
534427010,5,1962,Y,1728,2,Abnormal,84900
534430080,5,1950,Y,1078,1,Normal,142125
534431050,5,1952,Y,2461,2,Normal,197600
534431070,6,1949,Y,1556,2,Normal,172500
534450180,5,1958,Y,858,1,Normal,116500
534451150,3,1940,Y,1306,1,Normal,76500
534475100,5,1954,Y,1063,1,Normal,128000
534476260,6,1955,Y,1520,1,Normal,153000
534479320,5,1954,Y,1268,1,Normal,132000
535101020,6,1966,Y,1128,1,Normal,178000
535106190,5,1960,Y,2274,2,Normal,154300
535125010,7,1970,Y,2207,2,Normal,180000
535126040,6,1966,Y,1888,2,Normal,190000
535152010,5,1958,Y,1604,2,Normal,135000
535152050,7,2003,Y,1480,2,Normal,214000
535152130,5,1959,Y,1143,1,Normal,136000
535152150,5,1959,Y,1700,1,Normal,165500
535152250,5,1957,Y,1314,1,Normal,145000
535153070,6,1959,Y,1194,1,Normal,148000
535154050,5,1959,Y,1188,1,Abnormal,142000
535175070,5,1960,Y,1264,1,Normal,167500
535175180,5,1959,Y,1206,1,Normal,108538
535179020,6,1959,Y,1580,1,Normal,159500
